difficulty,index,method,psnr,ssim,preparation,reference_size,candidate_size
easy,88,tsrn,27.4338,0.7963,canonical_128x32,128x32,128x32
easy,89,bicubic,29.8288,0.7375,64x16_bicubic_to_128x32,128x32,128x32
easy,89,realesrgan,29.0575,0.7219,canonical_128x32,128x32,128x32
easy,89,tsrn,27.3534,0.7231,canonical_128x32,128x32,128x32
easy,90,bicubic,26.2477,0.6611,64x16_bicubic_to_128x32,128x32,128x32
easy,90,realesrgan,25.3147,0.6016,canonical_128x32,128x32,128x32
easy,90,tsrn,27.1547,0.7961,canonical_128x32,128x32,128x32
easy,91,bicubic,30.1927,0.7759,64x16_bicubic_to_128x32,128x32,128x32
easy,91,realesrgan,29.8894,0.7329,canonical_128x32,128x32,128x32
easy,91,tsrn,29.2981,0.8173,canonical_128x32,128x32,128x32
easy,92,bicubic,31.5631,0.7994,64x16_bicubic_to_128x32,128x32,128x32
easy,92,realesrgan,30.4224,0.7609,canonical_128x32,128x32,128x32
easy,92,tsrn,26.4479,0.7515,canonical_128x32,128x32,128x32
easy,93,bicubic,27.0359,0.7085,64x16_bicubic_to_128x32,128x32,128x32
easy,93,realesrgan,26.5989,0.6839,canonical_128x32,128x32,128x32
easy,93,tsrn,26.6099,0.7991,canonical_128x32,128x32,128x32
easy,94,bicubic,28.4007,0.7179,64x16_bicubic_to_128x32,128x32,128x32
easy,94,realesrgan,27.2371,0.6669,canonical_128x32,128x32,128x32
easy,94,tsrn,26.3846,0.8288,canonical_128x32,128x32,128x32
easy,95,bicubic,25.1871,0.6228,64x16_bicubic_to_128x32,128x32,128x32
easy,95,realesrgan,24.3497,0.5947,canonical_128x32,128x32,128x32
easy,95,tsrn,28.5725,0.8553,canonical_128x32,128x32,128x32
easy,96,bicubic,30.2288,0.7953,64x16_bicubic_to_128x32,128x32,128x32
easy,96,realesrgan,29.4105,0.7279,canonical_128x32,128x32,128x32
easy,96,tsrn,29.5134,0.8357,canonical_128x32,128x32,128x32
easy,97,bicubic,23.0865,0.6128,64x16_bicubic_to_128x32,128x32,128x32
easy,97,realesrgan,21.7243,0.5745,canonical_128x32,128x32,128x32
easy,97,tsrn,26.8881,0.875,canonical_128x32,128x32,128x32
easy,98,bicubic,32.3595,0.854,64x16_bicubic_to_128x32,128x32,128x32
easy,98,realesrgan,31.7573,0.8347,canonical_128x32,128x32,128x32
easy,98,tsrn,27.8688,0.7657,canonical_128x32,128x32,128x32
easy,99,bicubic,30.0803,0.8068,64x16_bicubic_to_128x32,128x32,128x32
easy,99,realesrgan,29.8758,0.7989,canonical_128x32,128x32,128x32
