difficulty,image_name,psnr,ssim,alignment
hard,hard_048_lr_sr.png,21.9429,0.57,bicubic_to_hr
hard,hard_049_lr_sr.png,21.3154,0.68,bicubic_to_hr
hard,hard_050_lr_sr.png,21.92,0.563,bicubic_to_hr
hard,hard_051_lr_sr.png,21.592,0.6424,bicubic_to_hr
hard,hard_052_lr_sr.png,21.1303,0.5382,bicubic_to_hr
hard,hard_053_lr_sr.png,20.9843,0.5107,bicubic_to_hr
hard,hard_054_lr_sr.png,17.1579,0.4761,bicubic_to_hr
hard,hard_055_lr_sr.png,17.9203,0.5207,bicubic_to_hr
hard,hard_056_lr_sr.png,21.9765,0.6072,bicubic_to_hr
hard,hard_057_lr_sr.png,21.3266,0.6649,bicubic_to_hr
hard,hard_058_lr_sr.png,21.0058,0.5681,bicubic_to_hr
hard,hard_059_lr_sr.png,20.9651,0.6337,bicubic_to_hr
hard,hard_060_lr_sr.png,21.8624,0.5831,bicubic_to_hr
hard,hard_061_lr_sr.png,21.6674,0.6766,bicubic_to_hr
hard,hard_062_lr_sr.png,19.0462,0.567,bicubic_to_hr
hard,hard_063_lr_sr.png,18.8705,0.552,bicubic_to_hr
hard,hard_064_lr_sr.png,24.0707,0.6573,bicubic_to_hr
hard,hard_065_lr_sr.png,24.4418,0.6455,bicubic_to_hr
hard,hard_066_lr_sr.png,24.7033,0.6261,bicubic_to_hr
hard,hard_067_lr_sr.png,24.0433,0.619,bicubic_to_hr
hard,hard_068_lr_sr.png,24.8659,0.665,bicubic_to_hr
hard,hard_069_lr_sr.png,22.9753,0.7493,bicubic_to_hr
hard,hard_070_lr_sr.png,22.1467,0.5454,bicubic_to_hr
hard,hard_071_lr_sr.png,21.7003,0.667,bicubic_to_hr
hard,hard_072_lr_sr.png,22.7712,0.6129,bicubic_to_hr
hard,hard_073_lr_sr.png,20.6235,0.555,bicubic_to_hr
hard,hard_074_lr_sr.png,21.1726,0.4859,bicubic_to_hr
hard,hard_075_lr_sr.png,21.863,0.5063,bicubic_to_hr
hard,hard_076_lr_sr.png,18.5742,0.5853,bicubic_to_hr
hard,hard_077_lr_sr.png,16.9193,0.4236,bicubic_to_hr
hard,hard_078_lr_sr.png,17.2134,0.4425,bicubic_to_hr
hard,hard_079_lr_sr.png,22.3598,0.5953,bicubic_to_hr
hard,hard_080_lr_sr.png,21.0435,0.6281,bicubic_to_hr
hard,hard_081_lr_sr.png,22.1777,0.5545,bicubic_to_hr
hard,hard_082_lr_sr.png,20.5108,0.6039,bicubic_to_hr
hard,hard_083_lr_sr.png,21.9475,0.5113,bicubic_to_hr
hard,hard_084_lr_sr.png,19.5589,0.5437,bicubic_to_hr
hard,hard_085_lr_sr.png,18.6037,0.5107,bicubic_to_hr
